zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
86107772,86107772,https://www.zillow.com/homedetails/1405-W-Falls-Dr-Stillwater-OK-74075/86107772_zpid/,"1405 W Falls Dr, Stillwater, OK 74075",1405 W Falls Dr,74075,3,3,2585,455000,36.170918,-97.07571
93367817,93367817,https://www.zillow.com/homedetails/903-E-Franklin-Ave-Stillwater-OK-74075/93367817_zpid/,"903 E Franklin Ave, Stillwater, OK 74075",903 E Franklin Ave,74075,3,1,1178,135000,36.137913,-97.04681
2063699488,2063699488,https://www.zillow.com/homedetails/2905-S-Husband-St-Stillwater-OK-74074/2063699488_zpid/,"2905 S Husband St, Stillwater, OK 74074",2905 S Husband St,74074,3,2,1727,135000,0.0,0.0
224763044,224763044,https://www.zillow.com/homedetails/1003-E-Redbud-Dr-Stillwater-OK-74075/224763044_zpid/,"1003 E Redbud Dr, Stillwater, OK 74075",1003 E Redbud Dr,74075,3,1,1166,126000,36.13574,-97.04672
252289006,252289006,https://www.zillow.com/homedetails/3014-S-Husband-St-Stillwater-OK-74074/252289006_zpid/,"3014 S Husband St, Stillwater, OK 74074",3014 S Husband St,74074,3,2,7468,365000,36.089916,-97.059525
86102830,86102830,https://www.zillow.com/homedetails/323-S-Burdick-St-Stillwater-OK-74074/86102830_zpid/,"323 S Burdick St, Stillwater, OK 74074",323 S Burdick St,74074,3,2,1304,148250,36.11789,-97.046776
125520227,125520227,https://www.zillow.com/homedetails/3417-W-31st-Ave-Stillwater-OK-74074/125520227_zpid/,"3417 W 31st Ave, Stillwater, OK 74074",3417 W 31st Ave,74074,4,2,2243,350000,36.088123,-97.10182
2063625917,2063625917,https://www.zillow.com/homedetails/6703-Poplar-St-Stillwater-OK-74074/2063625917_zpid/,"6703 Poplar St, Stillwater, OK 74074",6703 Poplar St,74074,3,2,1376,135000,36.044838,-97.0179
2067545493,2067545493,https://www.zillow.com/homedetails/251-W-Miller-Ave-101-Stillwater-OK-74075/2067545493_zpid/,"251 W Miller Ave #101, Stillwater, OK 74075",251 W Miller Ave #101,74075,4,4,1258,174900,36.12338,-97.06107
224764501,224764501,https://www.zillow.com/homedetails/702-W-9th-Ave-Stillwater-OK-74074/224764501_zpid/,"702 W 9th Ave, Stillwater, OK 74074",702 W 9th Ave,74074,2,1,672,62000,36.112633,-97.06701
337674944,337674944,https://www.zillow.com/homedetails/6016-N-Emerald-St-Stillwater-OK-74075/337674944_zpid/,"6016 N Emerald St, Stillwater, OK 74075",6016 N Emerald St,74075,4,2,2336,37500,36.186035,-97.057
86102515,86102515,https://www.zillow.com/homedetails/1707-S-Mansfield-Dr-Stillwater-OK-74074/86102515_zpid/,"1707 S Mansfield Dr, Stillwater, OK 74074",1707 S Mansfield Dr,74074,3,2,2147,252000,36.10276,-97.11739
